,pguru_avg_price,ura_avg_price,net_diff,pct_diff
HONG HENG MANSIONS,1300.0,2300.0,-1000.0,-43.47826086956522
SANT RITZ,2600.0,3400.0,-800.0,-23.529411764705888
BELLA CASITA,3950.0,4700.0,-750.0,-15.957446808510634
TANGLIN REGENCY,4200.0,4800.0,-600.0,-12.5
LE QUEST,4260.0,4600.0,-340.0,-7.391304347826089
THE SKYWOODS,4650.0,4900.0,-250.0,-5.102040816326525
LAKE LIFE,3800.0,4000.0,-200.0,-5.000000000000004
THE TOPIARY,4378.571428571428,4500.0,-121.42857142857156,-2.6984126984127
ALTEZ,6100.0,6137.555555555556,-37.55555555555566,-0.6118976067200133
THE CREEK @ BUKIT,4200.0,4225.0,-25.0,-0.591715976331364
THE SCOTTS TOWER,6741.666666666667,6744.4,-2.7333333333326664,-0.04052744993375823
SUITES AT ORCHARD,5499.0,5500.0,-1.0,-0.01818181818181719
THE PIER AT ROBERTSON,4800.0,4800.0,0.0,0.0
KOVAN REGENCY,4000.0,4000.0,0.0,0.0
AMBER 45,5200.0,5200.0,0.0,0.0
VIVACE,4800.0,4800.0,0.0,0.0
DOMAIN 21,5500.0,5400.0,100.0,1.85185185185186
THE LILIUM,4500.0,4400.0,100.0,2.2727272727272707
CAIRNHILL NINE,6600.0,6440.0,160.0,2.4844720496894457
2 RVG,5650.0,5500.0,150.0,2.7272727272727337
NESS,3600.0,3500.0,100.0,2.857142857142847
ALEXIS,4550.0,4400.0,150.0,3.409090909090917
8 HULLET,7200.0,6946.0,254.0,3.656780881082633
ROYALGREEN,6585.8,6350.0,235.80000000000018,3.7133858267716535
GROSVENOR VIEW,3850.0,3700.0,150.0,4.054054054054057
8 SAINT THOMAS,8133.333333333333,7800.0,333.33333333333303,4.2735042735042805
THE CHERRYWOOD,4700.0,4500.0,200.0,4.444444444444451
CLUNY PARK RESIDENCE,6800.0,6500.0,300.0,4.615384615384621
BIJOU,4904.0,4666.666666666667,237.33333333333303,5.085714285714271
SKY HABITAT,4400.0,4171.428571428572,228.57142857142844,5.47945205479452
SOLEIL @ SINARAN,7135.714285714285,6750.0,385.7142857142853,5.714285714285716
ARC AT TAMPINES,4375.0,4112.5,262.5,6.382978723404253
V ON SHENTON,5933.333333333333,5575.0,358.33333333333303,6.427503736920781
THE INTERWEAVE,3933.3333333333335,3683.3333333333335,250.0,6.7873303167420795
CORALS AT KEPPEL BAY,6800.0,6366.666666666667,433.33333333333303,6.806282722513091
26 NEWTON,5987.5,5600.0,387.5,6.91964285714286
SUNNYVALE RESIDENCES,5399.5,5050.0,349.5,6.920792079207927
CHELSEA GROVE,4500.0,4200.0,300.0,7.14285714285714
D'SUNRISE,4500.0,4200.0,300.0,7.14285714285714
INTERNATIONAL PLAZA,4500.0,4200.0,300.0,7.14285714285714
CITY REGENCY,4300.0,4000.0,300.0,7.499999999999996
NEWTON GEMS,4300.0,4000.0,300.0,7.499999999999996
ORCHARD SCOTTS,6800.0,6300.0,500.0,7.9365079365079305
PAVILION 11,4700.0,4350.0,350.0,8.045977011494255
SUITES @ AMBER,5200.0,4800.0,400.0,8.333333333333325
STRATUM,3900.0,3600.0,300.0,8.333333333333325
ONE DUSUN RESIDENCES,4500.0,4150.0,350.0,8.43373493975903
PARC ESTA,5786.486486486487,5323.684210526316,462.80227596017085,8.693270630986905
ZEDGE,4250.0,3900.0,350.0,8.974358974358964
SERAYA RESIDENCES,6000.0,5500.0,500.0,9.090909090909083
KANDIS RESIDENCE,3600.0,3300.0,300.0,9.090909090909083
STIRLING RESIDENCES,6686.272727272727,6115.384615384615,570.8881118881118,9.335277301315026
HARBOURLIGHTS,3900.0,3560.0,340.0,9.550561797752799
LIVIA,3800.0,3466.6666666666665,333.3333333333335,9.615384615384626
PARC EMILY,5100.0,4640.0,460.0,9.913793103448265
THE HYDE,7700.0,7000.0,700.0,10.000000000000009
NEWTON SUITES,5675.0,5150.0,525.0,10.194174757281548
76 SHENTON,6400.0,5787.5,612.5,10.583153347732189
SPANISH VILLAGE,3988.0,3600.0,388.0,10.777777777777775
THE PARC CONDOMINIUM,4900.0,4420.0,480.0,10.859728506787336
THE CENTRIS,4500.0,4050.0,450.0,11.111111111111116
THE SANTORINI,4000.0,3600.0,400.0,11.111111111111116
COMMONWEALTH TOWERS,5772.727272727273,5188.888888888889,583.8383838383843,11.25170332879113
EWE BOON REGENT,5245.0,4700.0,545.0,11.595744680851073
ROBIN SUITES,4800.0,4300.0,500.0,11.627906976744185
MAPLE WOODS,4000.0,3583.3333333333335,416.6666666666665,11.627906976744185
THE CREST,6200.0,5550.0,650.0,11.711711711711704
ARTRA,6256.25,5600.0,656.25,11.71875
ROBERTSON 100,5400.0,4833.333333333333,566.666666666667,11.724137931034484
FRASER RESIDENCE ORCHARD SINGAPORE,14525.0,13000.0,1525.0,11.730769230769234
HIGHLINE RESIDENCES,6800.0,6081.25,718.75,11.819116135662888
8 @ MOUNT SOPHIA,5100.0,4550.0,550.0,12.08791208791209
MARTIN NO 38,7000.0,6233.333333333333,766.666666666667,12.299465240641716
SEASIDE RESIDENCES,5257.5,4680.0,577.5,12.339743589743591
TWIN VEW,5289.833333333333,4705.882352941177,583.9509803921565,12.40895833333333
PARC MACKENZIE,4900.0,4350.0,550.0,12.643678160919535
FLO RESIDENCE,4000.0,3550.0,450.0,12.676056338028175
ASCENTIA SKY,6200.0,5500.0,700.0,12.72727272727272
RIVERTREES RESIDENCES,3900.0,3450.0,450.0,13.043478260869556
REGENT RESIDENCES,5061.538461538462,4466.666666666667,594.8717948717949,13.318025258323773
NEEM TREE,4650.0,4100.0,550.0,13.414634146341452
CANBERRA RESIDENCES,3800.0,3350.0,450.0,13.432835820895516
CASA CAMBIO,3800.0,3350.0,450.0,13.432835820895516
THE TANAMERA,4200.0,3700.0,500.0,13.513513513513509
CONCOURSE SKYLINE,5414.285714285715,4766.666666666667,647.6190476190477,13.586413586413592
FORESQUE RESIDENCES,3900.0,3430.0,470.0,13.702623906705536
OXFORD SUITES,4800.0,4200.0,600.0,14.28571428571428
VANADIUM,4000.0,3500.0,500.0,14.28571428571428
10 SHELFORD,4000.0,3500.0,500.0,14.28571428571428
THOMSON GRAND,4350.0,3800.0,550.0,14.473684210526304
SKYLINE RESIDENCES,5799.75,5050.0,749.75,14.846534653465348
EIGHT RIVERSUITES,4679.866666666667,4070.8333333333335,609.0333333333333,14.96090071647902
THE GALE,3199.0,2780.0,419.0,15.071942446043174
SKIES MILTONIA,3787.5,3290.0,497.5,15.121580547112456
CARIBBEAN AT KEPPEL BAY,6215.0,5386.363636363636,828.636363636364,15.383966244725755
REGENCY SUITES,6500.0,5600.0,900.0,16.07142857142858
THOMSON EURO-ASIA,4800.0,4133.333333333333,666.666666666667,16.129032258064523
HILLSTA,3600.0,3100.0,500.0,16.129032258064523
REGENTVILLE,3950.0,3400.0,550.0,16.176470588235304
THE VERVE,4650.0,4000.0,650.0,16.250000000000007
MY MANHATTAN,4400.0,3783.3333333333335,616.6666666666665,16.299559471365633
L'VIV,6200.0,5330.0,870.0,16.32270168855534
THE TAMPINES TRILLIANT,4600.0,3950.0,650.0,16.455696202531644
VISIONCREST,5744.333333333333,4926.923076923077,817.4102564102559,16.590684361176145
THE AXIS,4200.0,3600.0,600.0,16.666666666666675
AMARYLLIS VILLE,5833.333333333333,4987.5,845.833333333333,16.959064327485372
GARDENVISTA,5208.0,4450.0,758.0,17.033707865168534
IRESIDENCES,4988.0,4250.0,738.0,17.36470588235295
LAKEVILLE,5162.5,4397.222222222223,765.2777777777774,17.40366392924826
THE INSPIRA,7400.0,6300.0,1100.0,17.460317460317466
SYMPHONY SUITES,4350.0,3700.0,650.0,17.567567567567565
RIVERIA GARDENS,5500.0,4675.0,825.0,17.647058823529417
MARINA BAY RESIDENCES,6531.727272727273,5550.0,981.727272727273,17.68877968877969
TWIN REGENCY,6200.0,5266.666666666667,933.333333333333,17.721518987341756
THE BENCOOLEN,5025.0,4260.0,765.0,17.957746478873247
MARINA ONE RESIDENCES,6248.14705882353,5292.857142857143,955.2899159663866,18.048662379931724
ICON,6276.666666666667,5314.285714285715,962.3809523809523,18.10931899641577
ILLUMINAIRE ON DEVONSHIRE,5200.0,4400.0,800.0,18.181818181818187
PARC RIVIERA,5126.666666666667,4330.7692307692305,795.8974358974365,18.37773830669036
MINT RESIDENCES @ JANSEN,4500.0,3800.0,700.0,18.421052631578938
TRESALVEO,4650.0,3925.0,725.0,18.47133757961783
THE CLIFT,5950.0,5022.117647058823,927.8823529411766,18.475918290854576
CITYLIGHTS,5800.0,4894.444444444444,905.5555555555557,18.501702610669703
ONE AMBER,5800.0,4887.5,912.5,18.67007672634271
THE SERENNIA,4750.0,4000.0,750.0,18.75
THE INFLORA,4150.0,3493.75,656.25,18.783542039355993
THE ADDITION,5000.0,4200.0,800.0,19.047619047619047
KASTURINA LODGE,5000.0,4200.0,800.0,19.047619047619047
THE POIZ RESIDENCES,5240.0,4392.857142857143,847.1428571428569,19.28455284552846
ECHELON,6100.0,5112.5,987.5,19.31540342298288
FULCRUM,4400.0,3683.3333333333335,716.6666666666665,19.457013574660632
WATERMARK ROBERTSON QUAY,6333.333333333333,5291.333333333333,1042.0,19.692579060098268
KINGSFORD WATERBAY,4641.777777777777,3875.0,766.7777777777774,19.78781362007167
SPOTTISWOODE RESIDENCES,5950.0,4963.888888888889,986.1111111111113,19.865696698377167
GRANDEUR PARK RESIDENCES,5466.666666666667,4560.0,906.666666666667,19.883040935672526
CASA MERAH,4500.0,3750.0,750.0,19.999999999999996
THE LAKESHORE,4600.0,3832.6923076923076,767.3076923076924,20.020070245860524
ONE OXLEY RISE,4799.5,3980.0,819.5,20.590452261306535
THOMSON IMPRESSIONS,4466.666666666667,3700.0,766.666666666667,20.72072072072073
THE VERMONT ON CAIRNHILL,6500.0,5383.333333333333,1116.666666666667,20.74303405572757
SCOTTS SQUARE,8950.0,7400.0,1550.0,20.945945945945944
WATERBANK AT DAKOTA,5250.0,4340.0,910.0,20.967741935483875
THE GARDEN RESIDENCES,4965.0,4100.0,865.0,21.097560975609753
A TREASURE TROVE,4440.0,3665.3846153846152,774.6153846153848,21.13326337880379
PARC PALAIS,4000.0,3300.0,700.0,21.212121212121215
J C DRAYCOTT,4850.0,4000.0,850.0,21.249999999999993
DOUBLE BAY RESIDENCES,4800.0,3955.5555555555557,844.4444444444443,21.34831460674158
NV RESIDENCES,3766.5,3100.0,666.5,21.500000000000007
THE LANAI,4500.0,3700.0,800.0,21.62162162162162
TANGERINE GROVE,3900.0,3200.0,700.0,21.875
SUNSHINE PLAZA,4925.0,4040.0,885.0,21.905940594059416
PARC CENTROS,4000.0,3280.769230769231,719.230769230769,21.922626025791313
GLOBAL VILLE,4300.0,3525.0,775.0,21.98581560283688
PALM ISLES,4033.1666666666665,3305.0,728.1666666666665,22.032274331820467
PARVIS,6500.0,5325.0,1175.0,22.065727699530523
OPTIMA @ TANAH MERAH,4437.5,3625.0,812.5,22.413793103448263
VILLAGE @ PASIR PANJANG,4900.0,4000.0,900.0,22.500000000000007
BLUWATERS,3800.0,3100.0,700.0,22.580645161290324
TREE HOUSE,4475.0,3650.0,825.0,22.602739726027398
THE SAIL @ MARINA BAY,7432.5641025641025,6061.290322580645,1371.2737799834576,22.623463107763264
THE PATERSON EDGE,6500.0,5300.0,1200.0,22.64150943396226
FORT GARDENS,4300.0,3500.0,800.0,22.857142857142865
PARC BOTANNIA,4850.0,3946.0,904.0,22.909275215407998
MELVILLE PARK,3966.8571428571427,3225.684210526316,741.1729323308268,22.977231618401174
PALM OASIS,4000.0,3250.0,750.0,23.076923076923084
THE CLEMENT CANOPY,5222.0,4242.857142857143,979.1428571428569,23.077441077441073
BEDOK RESIDENCES,5020.0,4078.5714285714284,941.4285714285716,23.082311733800353
HILLION RESIDENCES,4257.142857142857,3454.285714285714,802.8571428571427,23.242349048800648
BLOSSOM RESIDENCES,3700.0,3000.0,700.0,23.33333333333334
PARC SOPHIA,4900.0,3966.6666666666665,933.3333333333335,23.529411764705888
THE CLEARWATER,4200.0,3400.0,800.0,23.529411764705888
THE TAPESTRY,4950.0,4000.0,950.0,23.750000000000004
CENTRO RESIDENCES,4800.0,3875.0,925.0,23.870967741935488
SEA ESTA,4250.0,3425.0,825.0,24.087591240875916
THE VALES,4800.0,3866.6666666666665,933.3333333333335,24.13793103448276
J GATEWAY,6050.0,4863.636363636364,1186.363636363636,24.392523364485964
RIVER PLACE,4994.444444444444,4014.5833333333335,979.8611111111109,24.407541947759892
