property_name,listing_href,price,floor_area,property_address,is_studio,is_room,property_type,currency,num_bedrooms,num_bathrooms,price_period,build_year,furnished,district_code
34 LENGKONG SATU,https://www.propertyguru.com.sg/listing/24165130/for-rent-34-lengkong-satu,1500,180,,False,True,Semi-Detached House,S$ ,,,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24132116/for-rent-parc-esta,4800,732,822 Sims Avenue,False,False,New Project: 2022,S$ ,2.0,2.0,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24152222/for-rent-parc-esta,5000,732,822 Sims Avenue,False,False,New Project: 2022,S$ ,2.0,2.0,/mo,,Partially Furnished,D14
"PAYA LEBAR - SO GROOVY ! !! FEEL IT, LOVE IT",https://www.propertyguru.com.sg/listing/21779291/for-rent-paya-lebar-so-groovy-feel-it-love-it,6660,819,"PAYA LEBAR ROAD, SIMS AVENUE, PAYA LEBAR MRT",False,False,Condominium,S$ ,2.0,2.0,/mo,,Fully Furnished,D14
WATERBANK AT DAKOTA,https://www.propertyguru.com.sg/listing/24151236/for-rent-waterbank-at-dakota,9000,1141,76 Dakota Crescent,False,False,Condominium,S$ ,3.0,2.0,/mo,2013.0,,D14
WATERBANK AT DAKOTA,https://www.propertyguru.com.sg/listing/20530747/for-rent-waterbank-at-dakota,8500,1141,25 Dakota Crescent,False,False,Condominium,S$ ,3.0,3.0,/mo,2013.0,Partially Furnished,D14
PAYA LEBAR COZZY COZZY HOME,https://www.propertyguru.com.sg/listing/24125972/for-rent-paya-lebar-cozzy-cozzy-home,3620,356,Paya Lebar MRT,False,False,Condominium,S$ ,1.0,1.0,/mo,,Partially Furnished,D14
WARINGIN PARK,https://www.propertyguru.com.sg/listing/24050379/for-rent-waringin-park,5500,1259,Waringin Park,False,False,Apartment,S$ ,3.0,2.0,/mo,,Fully Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24237542/for-rent-parc-esta,5300,710,910 Sims Avenue,False,False,New Project: 2022,S$ ,2.0,2.0,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24242436/for-rent-parc-esta,11000,1399,916 Sims Avenue,False,False,New Project: 2022,S$ ,5.0,3.0,/mo,,Partially Furnished,D14
SIXTEEN35 RESIDENCES,https://www.propertyguru.com.sg/listing/24242126/for-rent-sixteen35-residences,2000,250,16 Lorong 35 Geylang,False,True,Condominium,S$ ,,,/mo,2021.0,Fully Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24242316/for-rent-parc-esta,3999,420,916 Sims Avenue,False,False,New Project: 2022,S$ ,1.0,1.0,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24242070/for-rent-parc-esta,5797,840,822 Sims Avenue,False,False,New Project: 2022,S$ ,3.0,2.0,/mo,,Partially Furnished,D14
LOTUS AT PAYA LEBAR,https://www.propertyguru.com.sg/listing/23769944/for-rent-lotus-at-paya-lebar,7560,1313,11 Paya Lebar Road,False,False,Condominium,S$ ,4.0,3.0,/mo,2014.0,Fully Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24241722/for-rent-parc-esta,5797,840,822 Sims Avenue,False,False,New Project: 2022,S$ ,3.0,2.0,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24241733/for-rent-parc-esta,5797,840,822 Sims Avenue,False,False,New Project: 2022,S$ ,3.0,2.0,/mo,,Partially Furnished,D14
PARC ESTA,https://www.propertyguru.com.sg/listing/24241726/for-rent-parc-esta,5797,840,822 Sims Avenue,False,False,New Project: 2022,S$ ,3.0,2.0,/mo,,Partially Furnished,D14
⭐甘榜景万岸区豪宅 ~ LUXURIOUS BUNGALOW @ KG KEMBANGAN ESTATE⭐,https://www.propertyguru.com.sg/listing/24151665/for-rent-%E7%94%98%E6%A6%9C%E6%99%AF%E4%B8%87%E5%B2%B8%E5%8C%BA%E8%B1%AA%E5%AE%85-luxurious-bungalow-kg-kembangan-estate,13500,6000,,False,False,Detached House,S$ ,6.0,7.0,/mo,,Fully Furnished,D14
THE ALCOVE,https://www.propertyguru.com.sg/listing/24241741/for-rent-the-alcove,1800,120,10 Lorong 27 Geylang Singapore,False,True,Condominium,S$ ,,,/mo,2004.0,Fully Furnished,D14
SIMS URBAN OASIS,https://www.propertyguru.com.sg/listing/24241558/for-rent-sims-urban-oasis,4200,624,2 Sims Drive,False,False,Condominium,S$ ,2.0,1.0,/mo,2017.0,Partially Furnished,D14
119 HO CHING ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-119-ho-ching-road-24222060,3650,720,119 Ho Ching Road,False,False,HDB Flat,S$ ,2.0,1.0,/mo,1971,Fully Furnished,D22
PARC OASIS,https://www.propertyguru.com.sg/listing/24237479/for-rent-parc-oasis,1400,120,35 Jurong East Avenue 1,False,True,Condominium,S$ ,,,/mo,1995,Fully Furnished,D22
LAKEHOLMZ,https://www.propertyguru.com.sg/listing/23802145/for-rent-lakeholmz,1250,150,80 Corporation Road,False,True,Condominium,S$ ,,,/mo,2005,Fully Furnished,D22
THE CENTRIS,https://www.propertyguru.com.sg/listing/24237472/for-rent-the-centris,1500,120,61 Jurong West Central 3,False,True,Apartment,S$ ,,,/mo,2009,Fully Furnished,D22
THE CENTRIS,https://www.propertyguru.com.sg/listing/24189855/for-rent-the-centris,1300,1528,79 Jurong West Central 3,False,True,Apartment,S$ ,,,/mo,2009,Fully Furnished,D22
THE LAKESHORE,https://www.propertyguru.com.sg/listing/24230694/for-rent-the-lakeshore,5800,1100,29 Jurong West Street 41,False,False,Condominium,S$ ,3.0,3.0,/mo,2007,Partially Furnished,D22
662C JURONG WEST STREET 64,https://www.propertyguru.com.sg/listing/hdb-for-rent-662c-jurong-west-street-64-24216435,1200,200,662C Jurong West Street 64,False,True,HDB Flat,S$ ,,,/mo,2000,Fully Furnished,D22
